city,country,date,day,precipitation,state,temp_high,temp_low,weather_condition,wind
Hamburg-Altstadt,Germany,2024-06-09,2024-06-09,7%,,--,47,partly_cloudy,10
Hamburg-Altstadt,Germany,2024-06-09,2024-06-10,81%,,59,49,pm_showers,10
Hamburg-Altstadt,Germany,2024-06-09,2024-06-11,75%,,57,47,showers,16
Hamburg-Altstadt,Germany,2024-06-09,2024-06-12,39%,,59,46,am_showers,13
Hamburg-Altstadt,Germany,2024-06-09,2024-06-13,34%,,61,51,pm_showers,10
Hamburg-Altstadt,Germany,2024-06-09,2024-06-14,24%,,68,55,cloudy,9
Hamburg-Altstadt,Germany,2024-06-09,2024-06-15,53%,,69,55,showers,10
Hamburg-Altstadt,Germany,2024-06-09,2024-06-16,66%,,69,55,showers,10
Hamburg-Altstadt,Germany,2024-06-09,2024-06-17,54%,,70,57,showers,10
Hamburg-Altstadt,Germany,2024-06-09,2024-06-18,60%,,72,57,thundershowers,10
Hamburg-Altstadt,Germany,2024-06-09,2024-06-19,50%,,71,56,scattered_thunderstorms,10
Hamburg-Altstadt,Germany,2024-06-09,2024-06-20,53%,,69,55,showers,10
Hamburg-Altstadt,Germany,2024-06-09,2024-06-21,38%,,69,56,pm_showers,11
Hamburg-Altstadt,Germany,2024-06-09,2024-06-22,44%,,68,56,showers,12
Hamburg-Altstadt,Germany,2024-06-09,2024-06-23,45%,,67,56,showers,12
Quartier Saint-Merri,France,2024-06-09,2024-06-09,6%,,--,51,clear,9
Quartier Saint-Merri,France,2024-06-09,2024-06-10,42%,,64,47,pm_showers,13
Quartier Saint-Merri,France,2024-06-09,2024-06-11,24%,,65,47,partly_cloudy,8
Quartier Saint-Merri,France,2024-06-09,2024-06-12,10%,,66,49,partly_cloudy,5
Quartier Saint-Merri,France,2024-06-09,2024-06-13,5%,,70,57,mostly_cloudy,9
Quartier Saint-Merri,France,2024-06-09,2024-06-14,49%,,69,58,showers,13
Quartier Saint-Merri,France,2024-06-09,2024-06-15,51%,,67,56,showers,11
Quartier Saint-Merri,France,2024-06-09,2024-06-16,53%,,68,56,showers,11
Quartier Saint-Merri,France,2024-06-09,2024-06-17,45%,,71,57,showers,10
Quartier Saint-Merri,France,2024-06-09,2024-06-18,37%,,69,56,showers,10
Quartier Saint-Merri,France,2024-06-09,2024-06-19,44%,,68,55,showers,8
Quartier Saint-Merri,France,2024-06-09,2024-06-20,24%,,68,55,partly_cloudy,9
Quartier Saint-Merri,France,2024-06-09,2024-06-21,24%,,68,56,partly_cloudy,10
Quartier Saint-Merri,France,2024-06-09,2024-06-22,43%,,68,56,showers,10
Quartier Saint-Merri,France,2024-06-09,2024-06-23,40%,,70,56,am_showers,9
St James's,United Kingdom,2024-06-09,2024-06-09,89%,England,--,51,showers,11
St James's,United Kingdom,2024-06-09,2024-06-10,46%,England,59,46,pm_showers,14
St James's,United Kingdom,2024-06-09,2024-06-11,24%,England,61,48,mostly_cloudy,8
St James's,United Kingdom,2024-06-09,2024-06-12,24%,England,63,48,mostly_cloudy,7
St James's,United Kingdom,2024-06-09,2024-06-13,20%,England,62,54,cloudy,11
St James's,United Kingdom,2024-06-09,2024-06-14,43%,England,62,53,showers,13
St James's,United Kingdom,2024-06-09,2024-06-15,46%,England,64,53,showers,13
St James's,United Kingdom,2024-06-09,2024-06-16,42%,England,64,54,showers,12
St James's,United Kingdom,2024-06-09,2024-06-17,46%,England,65,54,showers,12
St James's,United Kingdom,2024-06-09,2024-06-18,42%,England,65,54,showers,11
St James's,United Kingdom,2024-06-09,2024-06-19,45%,England,66,53,showers,10
St James's,United Kingdom,2024-06-09,2024-06-20,37%,England,67,53,showers,10
St James's,United Kingdom,2024-06-09,2024-06-21,38%,England,66,55,pm_showers,12
St James's,United Kingdom,2024-06-09,2024-06-22,31%,England,68,54,am_showers,11
St James's,United Kingdom,2024-06-09,2024-06-23,24%,England,68,55,mostly_cloudy,11
Justicia,Spain,2024-06-09,2024-06-09,55%,Madrid,--,57,showers_late,6
Justicia,Spain,2024-06-09,2024-06-10,59%,Madrid,70,52,am_showers,6
Justicia,Spain,2024-06-09,2024-06-11,4%,Madrid,77,52,mostly_sunny,7
Justicia,Spain,2024-06-09,2024-06-12,24%,Madrid,78,53,mostly_sunny,9
Justicia,Spain,2024-06-09,2024-06-13,2%,Madrid,83,57,partly_cloudy,13
Justicia,Spain,2024-06-09,2024-06-14,5%,Madrid,80,56,partly_cloudy,12
Justicia,Spain,2024-06-09,2024-06-15,12%,Madrid,82,55,partly_cloudy,11
Justicia,Spain,2024-06-09,2024-06-16,2%,Madrid,83,56,sunny,9
Justicia,Spain,2024-06-09,2024-06-17,1%,Madrid,85,58,sunny,12
Justicia,Spain,2024-06-09,2024-06-18,3%,Madrid,83,56,sunny,13
Justicia,Spain,2024-06-09,2024-06-19,7%,Madrid,81,53,mostly_sunny,11
Justicia,Spain,2024-06-09,2024-06-20,6%,Madrid,81,54,mostly_sunny,11
Justicia,Spain,2024-06-09,2024-06-21,1%,Madrid,85,57,mostly_sunny,8
Justicia,Spain,2024-06-09,2024-06-22,1%,Madrid,89,59,mostly_sunny,7
Justicia,Spain,2024-06-09,2024-06-23,0%,Madrid,91,61,mostly_sunny,8
Monti,Italy,2024-06-09,2024-06-09,85%,Rome,--,69,thunderstorms_early,13
