city,country,date,day,precipitation,state,temp_high,temp_low,weather_condition,wind
Hamburg-Altstadt,Germany,2024-06-09,2024-06-09,7%,,--,8,partly_cloudy,12
Hamburg-Altstadt,Germany,2024-06-09,2024-06-10,81%,,15,10,pm_rain,16
Hamburg-Altstadt,Germany,2024-06-09,2024-06-11,77%,,14,9,showers,25
Hamburg-Altstadt,Germany,2024-06-09,2024-06-12,38%,,15,8,am_showers,21
Hamburg-Altstadt,Germany,2024-06-09,2024-06-13,32%,,16,11,pm_showers,16
Hamburg-Altstadt,Germany,2024-06-09,2024-06-14,24%,,20,13,cloudy,15
Hamburg-Altstadt,Germany,2024-06-09,2024-06-15,52%,,20,13,showers,16
Hamburg-Altstadt,Germany,2024-06-09,2024-06-16,67%,,21,13,showers,16
Hamburg-Altstadt,Germany,2024-06-09,2024-06-17,53%,,21,14,showers,16
Hamburg-Altstadt,Germany,2024-06-09,2024-06-18,60%,,22,14,thundershowers,16
Hamburg-Altstadt,Germany,2024-06-09,2024-06-19,50%,,22,14,scattered_thunderstorms,16
Hamburg-Altstadt,Germany,2024-06-09,2024-06-20,53%,,21,13,showers,16
Hamburg-Altstadt,Germany,2024-06-09,2024-06-21,38%,,21,13,pm_showers,18
Hamburg-Altstadt,Germany,2024-06-09,2024-06-22,44%,,20,14,showers,19
Hamburg-Altstadt,Germany,2024-06-09,2024-06-23,45%,,20,13,showers,19
Quartier Saint-Merri,France,2024-06-09,2024-06-09,6%,,--,11,mostly_clear,15
Quartier Saint-Merri,France,2024-06-09,2024-06-10,40%,,18,8,pm_showers,21
Quartier Saint-Merri,France,2024-06-09,2024-06-11,24%,,19,9,partly_cloudy,12
Quartier Saint-Merri,France,2024-06-09,2024-06-12,13%,,19,10,partly_cloudy,9
Quartier Saint-Merri,France,2024-06-09,2024-06-13,5%,,21,14,mostly_cloudy,14
Quartier Saint-Merri,France,2024-06-09,2024-06-14,49%,,21,14,showers,20
Quartier Saint-Merri,France,2024-06-09,2024-06-15,52%,,20,13,showers,18
Quartier Saint-Merri,France,2024-06-09,2024-06-16,54%,,20,14,showers,18
Quartier Saint-Merri,France,2024-06-09,2024-06-17,45%,,22,14,showers,16
Quartier Saint-Merri,France,2024-06-09,2024-06-18,38%,,21,13,showers,16
Quartier Saint-Merri,France,2024-06-09,2024-06-19,44%,,20,13,showers,14
Quartier Saint-Merri,France,2024-06-09,2024-06-20,24%,,20,13,partly_cloudy,15
Quartier Saint-Merri,France,2024-06-09,2024-06-21,24%,,20,14,partly_cloudy,16
Quartier Saint-Merri,France,2024-06-09,2024-06-22,43%,,20,13,showers,16
Quartier Saint-Merri,France,2024-06-09,2024-06-23,40%,,21,14,am_showers,15
St James's,United Kingdom,2024-06-09,2024-06-09,89%,England,--,11,showers,18
St James's,United Kingdom,2024-06-09,2024-06-10,42%,England,15,8,pm_showers,23
St James's,United Kingdom,2024-06-09,2024-06-11,24%,England,16,9,mostly_cloudy,12
St James's,United Kingdom,2024-06-09,2024-06-12,22%,England,17,9,mostly_cloudy,12
St James's,United Kingdom,2024-06-09,2024-06-13,20%,England,17,12,cloudy,18
St James's,United Kingdom,2024-06-09,2024-06-14,43%,England,17,12,showers,21
St James's,United Kingdom,2024-06-09,2024-06-15,46%,England,18,12,showers,21
St James's,United Kingdom,2024-06-09,2024-06-16,42%,England,18,12,showers,20
St James's,United Kingdom,2024-06-09,2024-06-17,46%,England,19,12,showers,20
St James's,United Kingdom,2024-06-09,2024-06-18,42%,England,19,12,showers,19
St James's,United Kingdom,2024-06-09,2024-06-19,46%,England,19,11,showers,16
St James's,United Kingdom,2024-06-09,2024-06-20,37%,England,19,12,showers,16
St James's,United Kingdom,2024-06-09,2024-06-21,38%,England,19,13,pm_showers,19
St James's,United Kingdom,2024-06-09,2024-06-22,31%,England,20,12,am_showers,18
St James's,United Kingdom,2024-06-09,2024-06-23,24%,England,20,13,mostly_cloudy,17
Justicia,Spain,2024-06-09,2024-06-09,59%,Madrid,--,14,showers_late,9
Justicia,Spain,2024-06-09,2024-06-10,58%,Madrid,21,12,showers,9
Justicia,Spain,2024-06-09,2024-06-11,5%,Madrid,26,12,mostly_sunny,11
Justicia,Spain,2024-06-09,2024-06-12,24%,Madrid,26,13,mostly_sunny,14
Justicia,Spain,2024-06-09,2024-06-13,2%,Madrid,29,14,partly_cloudy,22
Justicia,Spain,2024-06-09,2024-06-14,5%,Madrid,27,14,partly_cloudy,20
Justicia,Spain,2024-06-09,2024-06-15,12%,Madrid,28,13,partly_cloudy,17
Justicia,Spain,2024-06-09,2024-06-16,2%,Madrid,29,14,sunny,14
Justicia,Spain,2024-06-09,2024-06-17,1%,Madrid,30,15,sunny,19
Justicia,Spain,2024-06-09,2024-06-18,3%,Madrid,28,14,sunny,21
Justicia,Spain,2024-06-09,2024-06-19,7%,Madrid,27,12,mostly_sunny,17
Justicia,Spain,2024-06-09,2024-06-20,6%,Madrid,27,13,mostly_sunny,16
Justicia,Spain,2024-06-09,2024-06-21,1%,Madrid,30,14,mostly_sunny,13
Justicia,Spain,2024-06-09,2024-06-22,1%,Madrid,32,16,mostly_sunny,11
Justicia,Spain,2024-06-09,2024-06-23,0%,Madrid,33,17,mostly_sunny,13
Monti,Italy,2024-06-09,2024-06-09,95%,Rome,--,21,scattered_thunderstorms,18
Monti,Italy,2024-06-09,2024-06-10,8%,Rome,27,20,partly_cloudy,19
Monti,Italy,2024-06-09,2024-06-11,4%,Rome,28,19,mostly_cloudy,17
Monti,Italy,2024-06-09,2024-06-12,14%,Rome,27,18,sunny,20
Monti,Italy,2024-06-09,2024-06-13,11%,Rome,28,16,sunny,18
