day,precipitation,temp_high,temp_low,weather_condition,wind
2024-06-07,,,,,
2024-06-08,,,,,
2024-06-09,,,,,
2024-06-10,,,,,
2024-06-11,,,,,
2024-06-12,4%,--,11,Partly Cloudy,12
2024-06-13,2%,26,10,Partly Cloudy,19
2024-06-14,3%,21,10,Mostly Sunny,19
2024-06-15,3%,20,10,Partly Cloudy,17
2024-06-16,10%,19,10,Partly Cloudy,22
2024-06-17,14%,20,10,Partly Cloudy,15
2024-06-18,45%,18,10,Showers,16
2024-06-19,19%,21,13,Partly Cloudy,17
2024-06-20,24%,24,15,Mostly Cloudy,17
2024-06-21,54%,23,14,Showers,16
2024-06-22,40%,23,15,AM Showers,15
2024-06-23,20%,23,14,Partly Cloudy,15
2024-06-24,24%,24,15,Partly Cloudy,16
2024-06-25,40%,25,15,Showers,13
2024-06-26,31%,25,15,AM Showers,14
